t,TAA_1,TAA_2
0,0.9,0.1
1,0.9,0.1
2,0.9,0.1
3,0.9,0.1
4,0.9,0.1
5,0.9,0.1
6,0.9,0.1
7,0.9,0.1
8,0.9,0.1
9,0.9,0.1
10,0.9,0.1
11,0.9,0.1
12,0.9,0.1
13,0.9,0.1
14,0.9,0.1
15,0.886666667,0.113333333
16,0.873333333,0.126666667
17,0.86,0.14
18,0.846666667,0.153333333
19,0.833333333,0.166666667
20,0.82,0.18
21,0.806666667,0.193333333
22,0.793333333,0.206666667
23,0.78,0.22
24,0.766666667,0.233333333
25,0.753333333,0.246666667
26,0.74,0.26
27,0.726666667,0.273333333
28,0.713333333,0.286666667
29,0.7,0.3
30,0.68,0.32
31,0.66,0.34
32,0.64,0.36
33,0.62,0.38
34,0.6,0.4
35,0.58,0.42
36,0.56,0.44
37,0.54,0.46
38,0.52,0.48
39,0.5,0.5
